contextSize;consumedGas
0;155966
1;172444
2;172508
3;172572
4;172636
5;172700
6;172764
7;172828
8;172892
9;172956
10;173020
11;173084
12;173148
13;173212
14;173276
15;173340
16;173404
17;173468
18;173532
19;173596
20;173660
21;173724
22;173788
23;173852
24;173916
25;173980
26;174044
27;174108
28;174172
29;174236
30;174300
31;174364
32;194415
33;215133
34;215197
35;215261
36;215325
37;215389
38;215453
39;215517
40;215581
41;215645
42;215709
43;215773
44;215837
45;215901
46;215965
47;216029
48;216093
49;216157
50;216221
51;216285
52;216349
53;216413
54;216477
55;216541
56;216605
57;216669
58;216733
59;216797
60;216861
61;216925
62;216989
63;217053
64;217001
65;237719
66;237783
67;237847
68;237911
69;237975
70;238039
71;238103
72;238167
73;238231
74;238295
75;238359
76;238423
77;238487
78;238551
79;238615
80;238679
81;238743
82;238807
83;238871
84;238935
85;238999
86;239063
87;239127
88;239191
89;239255
90;239319
91;239383
92;239447
93;239511
94;239575
95;239639
96;239587
97;260305
98;260369
99;260433
