inputProvenanceSize;consumedGas
0;170966
1;193926
2;216012
3;238098
4;260184
5;282270
6;304357
7;326443
8;348529
9;370615
10;392702
11;414788
12;436874
13;458960
14;481047
15;503133
16;525219
17;547306
18;569392
19;591478
20;613565
21;635651
22;657738
23;679824
24;701911
25;723997
26;746084
27;768170
28;790257
29;812343
30;834430
31;856516
32;878603
33;900689
34;922776
35;944863
36;966949
37;989036
38;1011123
39;1033209
40;1055296
41;1077383
42;1099470
43;1121556
44;1143643
45;1165730
46;1187817
47;1209903
48;1231990
49;1254077
50;1276164
51;1298251
52;1320338
53;1342425
54;1364512
55;1386599
56;1408686
57;1430773
58;1452860
59;1474947
60;1497034
61;1519121
62;1541208
63;1563295
64;1585382
65;1607469
66;1629556
67;1651643
68;1673730
69;1695817
70;1717905
71;1739992
72;1762079
73;1784166
74;1806254
75;1828341
76;1850428
77;1872515
78;1894603
79;1916690
80;1938777
81;1960865
82;1982952
83;2005039
84;2027127
85;2049214
86;2071302
87;2093389
88;2115477
89;2137564
90;2159652
91;2181739
92;2203827
93;2225914
94;2248002
95;2270089
96;2292177
97;2314264
98;2336352
99;2358440
