contextSize;consumedGas
0;49419
1;65131
2;65195
3;65259
4;65323
5;65387
6;65451
7;65515
8;65579
9;65643
10;65707
11;65771
12;65835
13;65899
14;65963
15;66027
16;66091
17;66155
18;66219
19;66283
20;66347
21;66411
22;66475
23;66539
24;66603
25;66667
26;66731
27;66795
28;66859
29;66923
30;66987
31;67051
32;87102
33;107820
34;107884
35;107948
36;108012
37;108076
38;108140
39;108204
40;108268
41;108332
42;108396
43;108460
44;108524
45;108588
46;108652
47;108716
48;108780
49;108844
50;108908
51;108972
52;109036
53;109100
54;109164
55;109228
56;109292
57;109356
58;109420
59;109484
60;109548
61;109612
62;109676
63;109740
64;109688
65;130406
66;130470
67;130534
68;130598
69;130662
70;130726
71;130790
72;130854
73;130918
74;130982
75;131046
76;131110
77;131174
78;131238
79;131302
80;131366
81;131430
82;131494
83;131558
84;131622
85;131686
86;131750
87;131814
88;131878
89;131942
90;132006
91;132070
92;132134
93;132198
94;132262
95;132326
96;132274
97;153056
98;153120
99;153184
