inputProvenanceSize;consumedGas
0;86613
1;108699
2;130785
3;152871
4;174958
5;197044
6;219130
7;241216
8;263302
9;285389
10;307475
11;329561
12;351647
13;373734
14;395820
15;417906
16;439993
17;462079
18;484166
19;506252
20;528338
21;550425
22;572511
23;594598
24;616684
25;638771
26;660857
27;682944
28;705030
29;727117
30;749203
31;771290
32;793377
33;815463
34;837550
35;859637
36;881723
37;903810
38;925897
39;947983
40;970070
41;992157
42;1014244
43;1036330
44;1058417
45;1080504
46;1102591
47;1124678
48;1146765
49;1168851
50;1190938
51;1213025
52;1235112
53;1257199
54;1279286
55;1301373
56;1323460
57;1345547
58;1367634
59;1389721
60;1411808
61;1433895
62;1455982
63;1478069
64;1500156
65;1522244
66;1544331
67;1566418
68;1588505
69;1610592
70;1632679
71;1654767
72;1676854
73;1698941
74;1721028
75;1743116
76;1765203
77;1787290
78;1809378
79;1831465
80;1853552
81;1875640
82;1897727
83;1919814
84;1941902
85;1963989
86;1986077
87;2008164
88;2030252
89;2052339
90;2074427
91;2096514
92;2118602
93;2140689
94;2162777
95;2184865
96;2206952
97;2229040
98;2251127
99;2273215
