run;confirmationTime;gasUsed;gasPrice;gasCosts
0;205714630;156732;20000000000;3134640000000000
1;175714018;156732;20000000000;3134640000000000
2;172456014;156732;20000000000;3134640000000000
3;148223824;156732;20000000000;3134640000000000
4;163556859;156732;20000000000;3134640000000000
5;167272287;156732;20000000000;3134640000000000
6;153312479;156732;20000000000;3134640000000000
7;140294964;156732;20000000000;3134640000000000
8;215084608;156732;20000000000;3134640000000000
9;162600608;156732;20000000000;3134640000000000
