run;confirmationTime;gasUsed;gasPrice;gasCosts
0;4181047387;0;0;0
1;5911671301;0;0;0
2;3573777622;0;0;0
3;6367514786;0;0;0
4;6489390218;0;0;0
5;8903005986;0;0;0
6;6465168584;0;0;0
7;11518269771;0;0;0
8;6510901689;0;0;0
9;11791958406;0;0;0
10;6403720071;0;0;0
11;7579238442;0;0;0
12;5704612178;0;0;0
13;11277553948;0;0;0
14;7182412847;0;0;0
15;6626471635;0;0;0
16;3234576847;0;0;0
17;7281721475;0;0;0
18;4796040817;0;0;0
19;6072331130;0;0;0
20;4114625341;0;0;0
21;10093563350;0;0;0
22;6404465703;0;0;0
23;6689472753;0;0;0
24;5553383273;0;0;0
25;11490591294;0;0;0
26;4819535996;0;0;0
27;7099990845;0;0;0
28;13565179049;0;0;0
29;3631176544;0;0;0
30;6710428753;0;0;0
31;8288108901;0;0;0
32;7072439476;0;0;0
33;6741763433;0;0;0
34;7810001160;0;0;0
35;7699328637;0;0;0
36;9754755118;0;0;0
37;10248445679;0;0;0
38;7014274609;0;0;0
39;7293501307;0;0;0
40;6099860480;0;0;0
41;9749142839;0;0;0
42;2934033601;0;0;0
43;7625676429;0;0;0
44;5272246725;0;0;0
45;9208881032;0;0;0
46;4919683228;0;0;0
47;11039137185;0;0;0
48;12562802526;0;0;0
49;5695440789;0;0;0
50;8154067662;0;0;0
51;7357058643;0;0;0
52;9966092065;0;0;0
53;4439949793;0;0;0
54;7327617328;0;0;0
55;4823262929;0;0;0
56;3689820433;0;0;0
57;6863133757;0;0;0
58;3994642554;0;0;0
59;4663630159;0;0;0
60;10392479205;0;0;0
61;8990505599;0;0;0
62;7622098505;0;0;0
63;8579830709;0;0;0
64;7995234908;0;0;0
65;9044790639;0;0;0
66;5827195449;0;0;0
67;4328149594;0;0;0
68;7053349995;0;0;0
69;3083674918;0;0;0
70;9532059648;0;0;0
71;3718329836;0;0;0
72;10506404696;0;0;0
73;5611890462;0;0;0
74;9762755240;0;0;0
75;8302145082;0;0;0
76;11736772029;0;0;0
77;10147032294;0;0;0
78;8142904453;0;0;0
79;6749237614;0;0;0
80;8372023513;0;0;0
81;3890697738;0;0;0
82;6144287070;0;0;0
83;6357969370;0;0;0
84;7375868610;0;0;0
85;6861135217;0;0;0
86;5765419405;0;0;0
87;5820222313;0;0;0
88;9253786796;0;0;0
89;7685014559;0;0;0
90;7672466813;0;0;0
91;6457665686;0;0;0
92;11385244679;0;0;0
93;4931972533;0;0;0
94;5240728293;0;0;0
95;2878179726;0;0;0
96;6612008033;0;0;0
97;14630241362;0;0;0
98;3930751043;0;0;0
99;10131057891;0;0;0
