run;confirmationTime;gasUsed;gasPrice;gasCosts
0;4452819997;0;0;0
1;7816412205;0;0;0
2;6296434633;0;0;0
3;10385306113;0;0;0
4;4939279511;0;0;0
5;7100635508;0;0;0
6;6872844225;0;0;0
7;5093921539;0;0;0
8;2803561200;0;0;0
9;6349422272;0;0;0
10;2183436910;0;0;0
11;6690778589;0;0;0
12;5451594189;0;0;0
13;11832255014;0;0;0
14;8075143657;0;0;0
15;9262526538;0;0;0
16;5321425719;0;0;0
17;11527936013;0;0;0
18;6355121971;0;0;0
19;9565522573;0;0;0
20;3744711899;0;0;0
21;7515587736;0;0;0
22;6476478298;0;0;0
23;6791908100;0;0;0
24;3743530969;0;0;0
25;14070122099;0;0;0
26;6509109516;0;0;0
27;5209328154;0;0;0
28;11822775694;0;0;0
29;7267087460;0;0;0
30;10195075612;0;0;0
31;5933588277;0;0;0
32;12386944543;0;0;0
33;9422775062;0;0;0
34;4653432056;0;0;0
35;2977946993;0;0;0
36;6395858176;0;0;0
37;4350557972;0;0;0
38;12124942344;0;0;0
39;5862929421;0;0;0
40;9535462300;0;0;0
41;4632764914;0;0;0
42;10067062529;0;0;0
43;7181565974;0;0;0
44;12583476527;0;0;0
45;6943816132;0;0;0
46;7636999285;0;0;0
47;3207109816;0;0;0
48;8131523165;0;0;0
49;2776208587;0;0;0
50;7775573560;0;0;0
51;6532081847;0;0;0
52;11090651863;0;0;0
53;8396489349;0;0;0
54;8687546118;0;0;0
55;5737899562;0;0;0
56;11912058415;0;0;0
57;12099185182;0;0;0
58;9720702082;0;0;0
59;2007539562;0;0;0
60;4919578988;0;0;0
61;3621775060;0;0;0
62;9802093435;0;0;0
63;5121046048;0;0;0
64;8594252167;0;0;0
65;7283952974;0;0;0
66;10782217061;0;0;0
67;6859130678;0;0;0
68;11579699400;0;0;0
69;6003211773;0;0;0
70;11371849904;0;0;0
71;10192405532;0;0;0
72;9310629822;0;0;0
73;3610575052;0;0;0
74;8058088344;0;0;0
75;6228931749;0;0;0
76;6696164620;0;0;0
77;4100697342;0;0;0
