run;confirmationTime;gasUsed;gasPrice;gasCosts
0;11259543136;0;0;0
1;10848048828;0;0;0
2;4430455976;0;0;0
3;6373249311;0;0;0
4;12416477996;0;0;0
5;7126584436;0;0;0
6;5005651244;0;0;0
7;8008052092;0;0;0
8;4635640763;0;0;0
9;7099635045;0;0;0
10;5360266281;0;0;0
11;5736225904;0;0;0
12;4375527079;0;0;0
13;11331763450;0;0;0
14;5926692953;0;0;0
15;4580569608;0;0;0
16;6009914063;0;0;0
17;5933977185;0;0;0
18;5199848010;0;0;0
19;7159120643;0;0;0
20;5709464759;0;0;0
21;7819923065;0;0;0
22;6004684276;0;0;0
23;7078831144;0;0;0
24;4007351388;0;0;0
25;4651502639;0;0;0
26;5917306066;0;0;0
27;11724635170;0;0;0
28;13654313649;0;0;0
29;10159129467;0;0;0
30;9272800471;0;0;0
31;12918491063;0;0;0
32;11499487693;0;0;0
33;8251066681;0;0;0
34;6994936865;0;0;0
35;8741523055;0;0;0
36;6267591929;0;0;0
37;3986656697;0;0;0
38;3599161905;0;0;0
39;8115618538;0;0;0
40;7962135581;0;0;0
41;9488075511;0;0;0
42;5082103324;0;0;0
43;6483864202;0;0;0
44;4847009364;0;0;0
45;8934740166;0;0;0
46;7359857875;0;0;0
47;8045285838;0;0;0
48;4067765321;0;0;0
49;5631070054;0;0;0
50;5697433541;0;0;0
51;4165636170;0;0;0
52;4871191886;0;0;0
53;5004914074;0;0;0
54;3739267540;0;0;0
55;7524168891;0;0;0
56;7635905798;0;0;0
57;7037916608;0;0;0
58;14094811588;0;0;0
59;6215774730;0;0;0
60;8260849084;0;0;0
61;10059206585;0;0;0
62;4466093867;0;0;0
63;11694205049;0;0;0
0;13412793003;0;0;0
1;8635301289;0;0;0
2;11773023950;0;0;0
0;5805338223;0;0;0
1;7102346302;0;0;0
2;7745472871;0;0;0
3;8036771358;0;0;0
4;5254498945;0;0;0
5;6985163528;0;0;0
6;11572134344;0;0;0
7;13732122300;0;0;0
8;13019102856;0;0;0
9;5537082147;0;0;0
10;5153827860;0;0;0
11;4902721400;0;0;0
12;7012757488;0;0;0
13;6014433030;0;0;0
14;4531846202;0;0;0
15;2612433710;0;0;0
16;3968724967;0;0;0
17;7162527633;0;0;0
18;2452263843;0;0;0
19;4411241269;0;0;0
20;6874829311;0;0;0
21;6299899866;0;0;0
22;7409491207;0;0;0
23;7881705254;0;0;0
24;11167973862;0;0;0
25;7523696644;0;0;0
26;7176574752;0;0;0
27;7704243457;0;0;0
28;6583355640;0;0;0
29;6919825184;0;0;0
30;2400360203;0;0;0
31;4196251775;0;0;0
32;10715450590;0;0;0
