run;confirmationTime;gasUsed;gasPrice;gasCosts
0;1493830270;0;0;0
1;4790251961;0;0;0
2;1435285522;0;0;0
3;4040299067;0;0;0
4;1343111350;0;0;0
5;4660414194;0;0;0
6;1305837350;0;0;0
7;4375361285;0;0;0
8;1252214383;0;0;0
9;3642842611;0;0;0
10;1518494042;0;0;0
11;3872426783;0;0;0
12;1670463687;0;0;0
13;3698088525;0;0;0
14;1794307744;0;0;0
15;3071563305;0;0;0
16;1317945913;0;0;0
17;4655843347;0;0;0
18;1319827118;0;0;0
19;4700447071;0;0;0
20;1290058399;0;0;0
21;4808995286;0;0;0
22;1357587965;0;0;0
23;3514888614;0;0;0
24;1201862615;0;0;0
25;4453227277;0;0;0
26;1252620241;0;0;0
27;3754913685;0;0;0
28;1436483477;0;0;0
29;3563933797;0;0;0
30;1474123416;0;0;0
31;3236928040;0;0;0
32;1328237809;0;0;0
33;4707039388;0;0;0
34;1683413993;0;0;0
35;3862104778;0;0;0
36;1453812273;0;0;0
37;4619780213;0;0;0
38;1504823310;0;0;0
39;3927540478;0;0;0
40;1366291613;0;0;0
41;3725003481;0;0;0
42;1201100877;0;0;0
43;4735569340;0;0;0
44;1323756128;0;0;0
45;3724373046;0;0;0
46;1231465402;0;0;0
47;4378503237;0;0;0
48;1347587238;0;0;0
49;4320559996;0;0;0
50;1183304525;0;0;0
51;4776688877;0;0;0
52;1726633834;0;0;0
53;4174616373;0;0;0
54;1600391633;0;0;0
55;3801279542;0;0;0
56;1379240799;0;0;0
57;3770230455;0;0;0
58;1240625794;0;0;0
59;4457863090;0;0;0
60;1244246580;0;0;0
61;4814057130;0;0;0
62;1280693088;0;0;0
63;4664160798;0;0;0
64;1878405793;0;0;0
65;4513519758;0;0;0
66;1232819130;0;0;0
67;3437871271;0;0;0
68;1581776034;0;0;0
69;3816083516;0;0;0
70;1692553206;0;0;0
71;3881316753;0;0;0
72;1344863963;0;0;0
73;4266398874;0;0;0
74;1423374843;0;0;0
75;3797620342;0;0;0
76;1192444521;0;0;0
77;3808614909;0;0;0
78;1215039683;0;0;0
79;4674668919;0;0;0
80;1227192173;0;0;0
81;4618671254;0;0;0
82;1110148878;0;0;0
83;3767036991;0;0;0
84;1282068848;0;0;0
85;3815206267;0;0;0
86;2344361107;0;0;0
87;10016631402;0;0;0
88;3142077270;0;0;0
89;6093871371;0;0;0
90;8387475461;0;0;0
91;5902274390;0;0;0
92;4415493785;0;0;0
93;4304334316;0;0;0
94;2748870076;0;0;0
95;8227639576;0;0;0
96;2383237926;0;0;0
97;3472719605;0;0;0
98;6824950689;0;0;0
99;5767670059;0;0;0
