run;confirmationTime;gasUsed;gasPrice;gasCosts
0;13412793003;0;0;0
1;8635301289;0;0;0
2;11773023950;0;0;0
0;5805338223;0;0;0
1;7102346302;0;0;0
2;7745472871;0;0;0
3;8036771358;0;0;0
4;5254498945;0;0;0
5;6985163528;0;0;0
6;11572134344;0;0;0
7;13732122300;0;0;0
8;13019102856;0;0;0
9;5537082147;0;0;0
10;5153827860;0;0;0
11;4902721400;0;0;0
12;7012757488;0;0;0
13;6014433030;0;0;0
14;4531846202;0;0;0
15;2612433710;0;0;0
16;3968724967;0;0;0
17;7162527633;0;0;0
18;2452263843;0;0;0
19;4411241269;0;0;0
20;6874829311;0;0;0
21;6299899866;0;0;0
22;7409491207;0;0;0
23;7881705254;0;0;0
24;11167973862;0;0;0
25;7523696644;0;0;0
26;7176574752;0;0;0
27;7704243457;0;0;0
28;6583355640;0;0;0
29;6919825184;0;0;0
30;2400360203;0;0;0
31;4196251775;0;0;0
32;10715450590;0;0;0
