run;confirmationTime;gasUsed;gasPrice;gasCosts
0;11138139135;0;0;0
1;13409132376;0;0;0
2;5577480253;0;0;0
3;5832980518;0;0;0
4;3311997860;0;0;0
5;4567348687;0;0;0
6;5759378272;0;0;0
7;5058713169;0;0;0
8;8295191415;0;0;0
9;7475058049;0;0;0
10;6206569583;0;0;0
11;4850815503;0;0;0
12;6125123141;0;0;0
13;7318577420;0;0;0
14;5722282315;0;0;0
15;8080480232;0;0;0
16;3796857235;0;0;0
17;5201493344;0;0;0
18;2928793418;0;0;0
19;6926359278;0;0;0
20;8692010781;0;0;0
21;8802509648;0;0;0
22;10334248214;0;0;0
23;6660200765;0;0;0
24;7365968936;0;0;0
25;6428727700;0;0;0
26;11568324961;0;0;0
27;6266762498;0;0;0
28;6669036893;0;0;0
29;5425555234;0;0;0
30;6594045170;0;0;0
