run;confirmationTime;gasUsed;gasPrice;gasCosts
0;5493976143;0;0;0
1;1769230426;0;0;0
2;5624528134;0;0;0
3;1659514523;0;0;0
4;7322328045;0;0;0
5;5749391342;0;0;0
6;6106011404;0;0;0
7;2591025638;0;0;0
8;7162490460;0;0;0
9;4105112028;0;0;0
10;5250447571;0;0;0
11;1819114445;0;0;0
12;5403686520;0;0;0
13;3452592602;0;0;0
14;4598394707;0;0;0
15;2787742100;0;0;0
16;4944941403;0;0;0
17;2856505769;0;0;0
18;6222176002;0;0;0
19;4407179059;0;0;0
20;5605424673;0;0;0
21;3038851876;0;0;0
22;4958768130;0;0;0
23;6515784276;0;0;0
24;4789553312;0;0;0
25;1758701802;0;0;0
26;5237946776;0;0;0
27;3690820208;0;0;0
28;3607495996;0;0;0
29;2462758696;0;0;0
30;6916723064;0;0;0
31;2856675335;0;0;0
32;7921510351;0;0;0
33;2819609791;0;0;0
34;4217488397;0;0;0
35;3282560752;0;0;0
36;7171407192;0;0;0
37;3746049955;0;0;0
38;3524721768;0;0;0
39;1759575963;0;0;0
40;5124903312;0;0;0
41;1829572714;0;0;0
42;5565664681;0;0;0
43;1639346182;0;0;0
44;5725333574;0;0;0
45;1639072817;0;0;0
46;7287300459;0;0;0
47;4370031513;0;0;0
48;4663194596;0;0;0
49;2689183021;0;0;0
50;5821097165;0;0;0
51;5933798686;0;0;0
52;4181196469;0;0;0
53;2573272399;0;0;0
54;4660561486;0;0;0
55;1522599391;0;0;0
56;6444651165;0;0;0
57;3699543140;0;0;0
58;5273892153;0;0;0
59;1690682973;0;0;0
60;6027584704;0;0;0
61;1906244986;0;0;0
62;5614989625;0;0;0
63;4105057336;0;0;0
64;4638399556;0;0;0
65;5851906470;0;0;0
66;4811433010;0;0;0
67;3742430604;0;0;0
68;4869679001;0;0;0
69;1862377635;0;0;0
70;6066389704;0;0;0
71;2464065433;0;0;0
72;5115969437;0;0;0
73;3586087342;0;0;0
74;5203630087;0;0;0
75;5045386419;0;0;0
76;4493760353;0;0;0
77;3170316350;0;0;0
78;4713543276;0;0;0
79;3265310947;0;0;0
80;7357658644;0;0;0
81;3328284425;0;0;0
82;4898343543;0;0;0
83;2326180444;0;0;0
84;4167189457;0;0;0
85;3532919186;0;0;0
86;4738053370;0;0;0
87;3363540199;0;0;0
88;4628216810;0;0;0
89;2582550858;0;0;0
90;5646349328;0;0;0
91;2864602251;0;0;0
92;3371721082;0;0;0
93;3062482904;0;0;0
94;6107931946;0;0;0
95;2955267746;0;0;0
96;4707741515;0;0;0
97;1500280278;0;0;0
98;8679375738;0;0;0
99;3230673668;0;0;0
