run;confirmationTime;gasUsed;gasPrice;gasCosts
0;3135142760;0;0;0
1;3108200517;0;0;0
2;12290903487;0;0;0
3;10634105262;0;0;0
4;9861130040;0;0;0
5;2951941985;0;0;0
6;5407049326;0;0;0
7;2897710110;0;0;0
8;8840879209;0;0;0
9;4445655306;0;0;0
10;7164768400;0;0;0
11;4871055250;0;0;0
12;10414172495;0;0;0
13;5489582695;0;0;0
14;9791230478;0;0;0
15;6238919842;0;0;0
16;10405785391;0;0;0
17;5282550398;0;0;0
18;12144172762;0;0;0
19;5511705507;0;0;0
20;4713113263;0;0;0
21;2596154474;0;0;0
22;8283026619;0;0;0
23;3572556871;0;0;0
24;7266234514;0;0;0
25;5740324960;0;0;0
26;11937523502;0;0;0
27;10175296276;0;0;0
28;7714513219;0;0;0
29;7585395308;0;0;0
30;11749879916;0;0;0
31;7062813126;0;0;0
32;1563821740;0;0;0
33;4698966882;0;0;0
34;4748453883;0;0;0
35;5853718540;0;0;0
36;2438463210;0;0;0
37;9059413117;0;0;0
38;4898294481;0;0;0
39;12572648078;0;0;0
40;6625229294;0;0;0
41;11178857833;0;0;0
42;7862994145;0;0;0
43;12216705884;0;0;0
44;6006274687;0;0;0
45;12261830845;0;0;0
46;3322651445;0;0;0
47;8703243689;0;0;0
48;1594643629;0;0;0
49;7836850786;0;0;0
50;6036041289;0;0;0
51;6873620650;0;0;0
52;5118872492;0;0;0
53;12728725656;0;0;0
54;8094155478;0;0;0
55;5268131397;0;0;0
56;6499761465;0;0;0
57;12864181533;0;0;0
58;8160759127;0;0;0
59;5196105784;0;0;0
60;3407183109;0;0;0
61;5099317048;0;0;0
62;1727474886;0;0;0
63;5410478452;0;0;0
64;3289001311;0;0;0
65;8552346019;0;0;0
66;8190916870;0;0;0
67;9935290207;0;0;0
68;6119025380;0;0;0
