run;confirmationTime;gasUsed;gasPrice;gasCosts
0;13026016872;156732;500000000;78366000000000
1;74567754656;156732;500000000;78366000000000
2;14669097347;156732;500000000;78366000000000
3;14853604594;156732;500000000;78366000000000
4;74513784907;156732;500000000;78366000000000
5;14939944210;156732;500000000;78366000000000
6;14542095922;156732;500000000;78366000000000
7;74779749089;156732;500000000;78366000000000
8;14757228734;156732;500000000;78366000000000
9;14745532605;156732;500000000;78366000000000
10;74707743646;156732;500000000;78366000000000
11;14488371342;156732;500000000;78366000000000
12;14945891801;156732;500000000;78366000000000
13;74488896677;156732;500000000;78366000000000
14;14834464825;156732;500000000;78366000000000
15;14849686023;156732;500000000;78366000000000
16;74669905556;156732;500000000;78366000000000
17;14552327093;156732;500000000;78366000000000
18;14751788800;156732;500000000;78366000000000
19;74689259822;156732;500000000;78366000000000
20;14751775417;156732;500000000;78366000000000
21;14674760099;156732;500000000;78366000000000
22;74767382763;156732;500000000;78366000000000
23;14576261860;156732;500000000;78366000000000
24;14709241086;156732;500000000;78366000000000
25;74841571239;156732;500000000;78366000000000
26;14738300254;156732;500000000;78366000000000
27;14666745517;156732;500000000;78366000000000
28;74767589607;156732;500000000;78366000000000
29;14515353445;156732;500000000;78366000000000
30;14758891519;156732;500000000;78366000000000
31;74782523521;156732;500000000;78366000000000
32;14545630544;156732;500000000;78366000000000
33;14697431945;156732;500000000;78366000000000
34;74808922179;156732;500000000;78366000000000
35;14525807366;156732;500000000;78366000000000
36;14917343381;156732;500000000;78366000000000
37;74511962999;156732;500000000;78366000000000
38;14660722258;156732;500000000;78366000000000
39;14904241960;156732;500000000;78366000000000
40;74667319644;156732;500000000;78366000000000
41;14634123072;156732;500000000;78366000000000
42;14819235138;156732;500000000;78366000000000
43;89506899580;156732;500000000;78366000000000
44;14789628127;156732;500000000;78366000000000
45;74582738828;156732;500000000;78366000000000
46;14855345168;156732;500000000;78366000000000
47;14789525148;156732;500000000;78366000000000
48;74515382474;156732;500000000;78366000000000
49;14654770289;156732;500000000;78366000000000
50;14745727533;156732;500000000;78366000000000
51;74788093876;156732;500000000;78366000000000
52;14580857431;156732;500000000;78366000000000
53;14649782956;156732;500000000;78366000000000
54;74762300569;156732;500000000;78366000000000
55;14726293927;156732;500000000;78366000000000
56;14525164774;156732;500000000;78366000000000
57;74830930186;156732;500000000;78366000000000
58;14652612369;156732;500000000;78366000000000
59;14103983021;156732;500000000;78366000000000
60;74751269654;156732;500000000;78366000000000
61;14857518758;156732;500000000;78366000000000
62;14588027572;156732;500000000;78366000000000
63;75072283607;156732;500000000;78366000000000
64;14446801075;156732;500000000;78366000000000
65;14880031963;156732;500000000;78366000000000
66;74692963609;156732;500000000;78366000000000
67;14544706402;156732;500000000;78366000000000
68;14898952086;156732;500000000;78366000000000
69;74531161109;156732;500000000;78366000000000
70;14809298994;156732;500000000;78366000000000
71;14638051748;156732;500000000;78366000000000
72;74897265310;156732;500000000;78366000000000
73;14463650676;156732;500000000;78366000000000
74;14900836391;156732;500000000;78366000000000
75;74770290069;156732;500000000;78366000000000
76;14478603585;156732;500000000;78366000000000
77;14918002320;156732;500000000;78366000000000
78;74560455212;156732;500000000;78366000000000
79;14736286952;156732;500000000;78366000000000
80;14645917485;156732;500000000;78366000000000
81;74853236242;156732;500000000;78366000000000
82;14647339556;156732;500000000;78366000000000
83;14873868358;156732;500000000;78366000000000
84;74507225842;156732;500000000;78366000000000
85;14629346380;156732;500000000;78366000000000
86;14980693864;156732;500000000;78366000000000
87;74579581441;156732;500000000;78366000000000
88;14544924378;156732;500000000;78366000000000
89;14549741495;156732;500000000;78366000000000
90;74830427175;156732;500000000;78366000000000
91;14506193202;156732;500000000;78366000000000
92;14919588500;156732;500000000;78366000000000
93;89778252537;156732;500000000;78366000000000
94;14477539339;156732;500000000;78366000000000
95;74975871572;156732;500000000;78366000000000
96;14526176967;156732;500000000;78366000000000
97;14772035152;156732;500000000;78366000000000
98;74836390097;156732;500000000;78366000000000
99;14448340169;156732;500000000;78366000000000
