run;confirmationTime;gasUsed;gasPrice;gasCosts
0;3888482064;48005;2000000000;96010000000000
1;14242089530;48005;2000000000;96010000000000
2;14130911844;48005;2000000000;96010000000000
3;14432081330;48005;2000000000;96010000000000
4;14419558638;48005;2000000000;96010000000000
5;14119001260;48005;2000000000;96010000000000
6;14186958395;48005;2000000000;96010000000000
7;14320567030;48005;2000000000;96010000000000
8;14218031901;48005;2000000000;96010000000000
9;14231400600;48005;2000000000;96010000000000
10;14183214649;48005;2000000000;96010000000000
11;14324105293;48005;2000000000;96010000000000
12;14415868187;48005;2000000000;96010000000000
13;14360920932;48005;2000000000;96010000000000
14;14311940085;48005;2000000000;96010000000000
15;14193957715;48005;2000000000;96010000000000
16;14113538091;48005;2000000000;96010000000000
17;14119796468;48005;2000000000;96010000000000
18;14455041202;48005;2000000000;96010000000000
19;14206584836;48005;2000000000;96010000000000
20;14394005044;48005;2000000000;96010000000000
21;14125800348;48005;2000000000;96010000000000
22;14417475664;48005;2000000000;96010000000000
23;14074020580;48005;2000000000;96010000000000
24;14153590449;48005;2000000000;96010000000000
25;14077536746;48005;2000000000;96010000000000
26;14290318732;48005;2000000000;96010000000000
27;14556752129;48005;2000000000;96010000000000
28;14231282546;48005;2000000000;96010000000000
29;14034351996;48005;2000000000;96010000000000
30;14339674713;48005;2000000000;96010000000000
31;14432387697;48005;2000000000;96010000000000
32;14042825420;48005;2000000000;96010000000000
33;14237030202;48005;2000000000;96010000000000
34;14388424223;48005;2000000000;96010000000000
35;14193556421;48005;2000000000;96010000000000
36;14240357929;48005;2000000000;96010000000000
37;14350223968;48005;2000000000;96010000000000
38;14182313108;48005;2000000000;96010000000000
39;14117474763;48005;2000000000;96010000000000
40;14435430664;48005;2000000000;96010000000000
41;14216157224;48005;2000000000;96010000000000
42;14329090129;48005;2000000000;96010000000000
43;14085939996;48005;2000000000;96010000000000
44;14446784433;48005;2000000000;96010000000000
45;14270776774;48005;2000000000;96010000000000
46;14326186071;48005;2000000000;96010000000000
47;13881728268;48005;2000000000;96010000000000
48;14093757136;48005;2000000000;96010000000000
49;14400294872;48005;2000000000;96010000000000
50;14207979694;48005;2000000000;96010000000000
51;14122828696;48005;2000000000;96010000000000
52;14067963409;48005;2000000000;96010000000000
53;14516663094;48005;2000000000;96010000000000
54;14192496963;48005;2000000000;96010000000000
55;14302094084;48005;2000000000;96010000000000
56;14030353855;48005;2000000000;96010000000000
57;14491125675;48005;2000000000;96010000000000
58;14260898781;48005;2000000000;96010000000000
59;14315743397;48005;2000000000;96010000000000
60;14263846317;48005;2000000000;96010000000000
61;14323096070;48005;2000000000;96010000000000
62;14245188578;48005;2000000000;96010000000000
63;14081750912;48005;2000000000;96010000000000
64;14407232151;48005;2000000000;96010000000000
65;14185705831;48005;2000000000;96010000000000
66;14382586584;48005;2000000000;96010000000000
67;14277100478;48005;2000000000;96010000000000
68;14251534866;48005;2000000000;96010000000000
69;14311862169;48005;2000000000;96010000000000
70;14213052892;48005;2000000000;96010000000000
71;14030305727;48005;2000000000;96010000000000
72;14386645889;48005;2000000000;96010000000000
73;14288026163;48005;2000000000;96010000000000
74;14158122353;48005;2000000000;96010000000000
75;14318449027;48005;2000000000;96010000000000
76;14141472190;48005;2000000000;96010000000000
77;14198452700;48005;2000000000;96010000000000
78;13912752960;48005;2000000000;96010000000000
79;14438860754;48005;2000000000;96010000000000
80;14299317356;48005;2000000000;96010000000000
81;14282908496;48005;2000000000;96010000000000
82;14321393637;48005;2000000000;96010000000000
83;14047914040;48005;2000000000;96010000000000
84;14396382990;48005;2000000000;96010000000000
85;14104265219;48005;2000000000;96010000000000
86;14295441179;48005;2000000000;96010000000000
87;14364886063;48005;2000000000;96010000000000
88;14253925761;48005;2000000000;96010000000000
89;14238924556;48005;2000000000;96010000000000
90;14351543015;48005;2000000000;96010000000000
91;14145368338;48005;2000000000;96010000000000
92;14322073468;48005;2000000000;96010000000000
93;14254667008;48005;2000000000;96010000000000
94;14315908693;48005;2000000000;96010000000000
95;14038288142;48005;2000000000;96010000000000
96;14320729142;48005;2000000000;96010000000000
97;14413608569;48005;2000000000;96010000000000
98;14059625993;48005;2000000000;96010000000000
99;14173308565;48005;2000000000;96010000000000
