run;confirmationTime;gasUsed;gasPrice;gasCosts
0;18192431725;87467;500000000;43733500000000
1;14159359732;87467;500000000;43733500000000
2;14186371786;87467;500000000;43733500000000
3;74182738640;87467;500000000;43733500000000
4;14153075543;87467;500000000;43733500000000
5;14340159927;87467;500000000;43733500000000
6;74122844352;87467;500000000;43733500000000
7;14359580136;87467;500000000;43733500000000
8;14304685923;87467;500000000;43733500000000
9;74340739472;87467;500000000;43733500000000
10;14029229995;87467;500000000;43733500000000
11;14498482143;87467;500000000;43733500000000
12;74073534424;87467;500000000;43733500000000
13;14390459848;87467;500000000;43733500000000
14;14313071133;87467;500000000;43733500000000
15;74250306601;87467;500000000;43733500000000
16;14305757913;87467;500000000;43733500000000
17;29188528036;87467;500000000;43733500000000
18;59183151864;87467;500000000;43733500000000
19;14464031219;87467;500000000;43733500000000
20;14296617051;87467;500000000;43733500000000
21;74038200122;87467;500000000;43733500000000
22;14244270807;87467;500000000;43733500000000
23;14020343269;87467;500000000;43733500000000
24;74434728568;87467;500000000;43733500000000
25;14220279479;87467;500000000;43733500000000
26;14297393521;87467;500000000;43733500000000
27;74151014024;87467;500000000;43733500000000
28;14315684691;87467;500000000;43733500000000
29;14347587858;87467;500000000;43733500000000
30;73972632127;87467;500000000;43733500000000
31;14203554161;87467;500000000;43733500000000
32;14596333797;87467;500000000;43733500000000
33;74055855583;87467;500000000;43733500000000
34;14222006328;87467;500000000;43733500000000
35;14294095517;87467;500000000;43733500000000
36;74477539184;87467;500000000;43733500000000
37;14180864400;87467;500000000;43733500000000
38;14194289214;87467;500000000;43733500000000
39;74298732879;87467;500000000;43733500000000
40;14097172681;87467;500000000;43733500000000
41;14436497995;87467;500000000;43733500000000
42;74139047690;87467;500000000;43733500000000
43;14378852492;87467;500000000;43733500000000
44;14169528740;87467;500000000;43733500000000
45;74410476421;87467;500000000;43733500000000
46;29140963061;87467;500000000;43733500000000
47;74171876773;87467;500000000;43733500000000
48;14132093133;87467;500000000;43733500000000
49;14268361715;87467;500000000;43733500000000
50;74403632504;87467;500000000;43733500000000
51;29264573927;87467;500000000;43733500000000
52;74268414891;87467;500000000;43733500000000
53;14468188606;87467;500000000;43733500000000
54;14060953735;87467;500000000;43733500000000
55;74262666967;87467;500000000;43733500000000
56;14198694542;87467;500000000;43733500000000
57;14308129253;87467;500000000;43733500000000
58;74332911715;87467;500000000;43733500000000
59;13914293184;87467;500000000;43733500000000
60;14382808873;87467;500000000;43733500000000
61;73994061133;87467;500000000;43733500000000
62;14198666779;87467;500000000;43733500000000
63;14284500635;87467;500000000;43733500000000
64;74067077719;87467;500000000;43733500000000
65;13941657799;87467;500000000;43733500000000
66;14344588154;87467;500000000;43733500000000
67;74300654225;87467;500000000;43733500000000
68;14263161875;87467;500000000;43733500000000
69;14441069534;87467;500000000;43733500000000
70;73954776028;87467;500000000;43733500000000
71;14324988628;87467;500000000;43733500000000
72;14378712272;87467;500000000;43733500000000
73;74206077821;87467;500000000;43733500000000
74;14319444364;87467;500000000;43733500000000
75;14279264686;87467;500000000;43733500000000
76;74313354154;87467;500000000;43733500000000
77;13999733414;87467;500000000;43733500000000
78;14068587467;87467;500000000;43733500000000
79;74362986691;87403;500000000;43701500000000
80;14235753235;87467;500000000;43733500000000
81;14315407822;87467;500000000;43733500000000
82;74243859698;87467;500000000;43733500000000
83;14264069762;87467;500000000;43733500000000
84;14151493423;87467;500000000;43733500000000
85;74240358562;87467;500000000;43733500000000
86;14431549805;87467;500000000;43733500000000
87;13668804059;87467;500000000;43733500000000
88;74363202945;87467;500000000;43733500000000
89;14169667689;87467;500000000;43733500000000
90;14001979864;87467;500000000;43733500000000
