run;confirmationTime;gasUsed;gasPrice;gasCosts
0;8015163603;147132;1000000000;147132000000000
1;5693190106;147132;1000000000;147132000000000
2;33107658371;147132;1000000000;147132000000000
3;38038232252;147132;1000000000;147132000000000
4;32259316710;147132;1000000000;147132000000000
5;11495015475;147132;1000000000;147132000000000
6;24845463823;147132;1000000000;147132000000000
7;23316400873;147132;1000000000;147132000000000
8;56854759470;147132;1000000000;147132000000000
9;5964304976;147132;1000000000;147132000000000
10;24303059197;147132;1000000000;147132000000000
11;28858357386;147132;1000000000;147132000000000
12;4886931578;147132;1000000000;147132000000000
13;42272987190;147132;1000000000;147132000000000
14;10738801863;147132;1000000000;147132000000000
15;14761670063;147132;1000000000;147132000000000
16;9027638068;147132;1000000000;147132000000000
17;13919053821;147132;1000000000;147132000000000
18;52172108534;147132;1000000000;147132000000000
19;7722964747;147132;1000000000;147132000000000
20;23697263064;147132;1000000000;147132000000000
21;4839127001;147132;1000000000;147132000000000
22;38033309426;147132;1000000000;147132000000000
23;111623161298;147132;1000000000;147132000000000
24;69970138973;147132;1000000000;147132000000000
25;22882913162;147132;1000000000;147132000000000
26;9570029864;147132;1000000000;147132000000000
27;39946568615;147132;1000000000;147132000000000
28;6424400975;147132;1000000000;147132000000000
29;7582486951;147132;1000000000;147132000000000
30;25722464484;147132;1000000000;147132000000000
31;62230931216;147132;1000000000;147132000000000
32;24728766326;147132;1000000000;147132000000000
33;19084116111;147132;1000000000;147132000000000
34;7469058812;147132;1000000000;147132000000000
35;20470155745;147132;1000000000;147132000000000
36;34231996369;147132;1000000000;147132000000000
37;24103313317;147132;1000000000;147132000000000
38;10328315429;147132;1000000000;147132000000000
39;12766534656;147132;1000000000;147132000000000
40;10471655649;147132;1000000000;147132000000000
0;72091113499;147132;1000000000;147132000000000
1;4769794871;147132;1000000000;147132000000000
2;36152569998;147132;1000000000;147132000000000
3;27761041224;147132;1000000000;147132000000000
4;10436002374;147132;1000000000;147132000000000
5;3258016397;147132;1000000000;147132000000000
6;6772627187;147132;1000000000;147132000000000
7;27038189663;147132;1000000000;147132000000000
8;10680075062;147132;1000000000;147132000000000
9;74343779297;147132;1000000000;147132000000000
10;32213031392;147132;1000000000;147132000000000
11;25700408247;147132;1000000000;147132000000000
12;24516162177;147132;1000000000;147132000000000
13;22023358258;147132;1000000000;147132000000000
14;4269222599;147132;1000000000;147132000000000
15;121944851985;147132;1000000000;147132000000000
16;72627405410;147132;1000000000;147132000000000
17;11773333321;147132;1000000000;147132000000000
18;46353274548;147132;1000000000;147132000000000
19;50344062728;147132;1000000000;147132000000000
20;30229658039;147132;1000000000;147132000000000
21;22739618980;147132;1000000000;147132000000000
22;6883257875;147132;1000000000;147132000000000
23;10100607033;147132;1000000000;147132000000000
24;6180888784;147132;1000000000;147132000000000
25;87390730913;147132;1000000000;147132000000000
26;12837247518;147132;1000000000;147132000000000
27;16072372709;147132;1000000000;147132000000000
28;5986313287;147132;1000000000;147132000000000
29;32947912885;147132;1000000000;147132000000000
30;23708819125;147132;1000000000;147132000000000
31;51769425238;147132;1000000000;147132000000000
32;14507826719;147132;1000000000;147132000000000
33;31761406427;147132;1000000000;147132000000000
34;53344394591;147132;1000000000;147132000000000
35;7303464991;147132;1000000000;147132000000000
36;14894415715;147132;1000000000;147132000000000
37;50775542288;147132;1000000000;147132000000000
38;14774868184;147132;1000000000;147132000000000
39;4698593395;147132;1000000000;147132000000000
40;3636692367;147132;1000000000;147132000000000
41;55021588554;147132;1000000000;147132000000000
42;30985818444;147132;1000000000;147132000000000
43;8102933507;147132;1000000000;147132000000000
44;28087929258;147132;1000000000;147132000000000
45;4745694621;147132;1000000000;147132000000000
46;14453732874;147132;1000000000;147132000000000
47;19844714346;147132;1000000000;147132000000000
48;43120069227;147132;1000000000;147132000000000
49;16476847380;147132;1000000000;147132000000000
50;121220548122;147132;1000000000;147132000000000
51;73995621807;147132;1000000000;147132000000000
52;61059394885;147132;1000000000;147132000000000
53;33041610248;147132;1000000000;147132000000000
54;23839747408;147132;1000000000;147132000000000
55;5930168029;147132;1000000000;147132000000000
56;32630924849;147132;1000000000;147132000000000
57;80760080747;147132;1000000000;147132000000000
58;36290043135;147132;1000000000;147132000000000
