run;confirmationTime;gasUsed;gasPrice;gasCosts
0;9464344628;48005;2000000000;96010000000000
1;9061108136;48005;2000000000;96010000000000
2;25972468310;48005;2000000000;96010000000000
3;12479191293;48005;2000000000;96010000000000
4;11357507055;48005;2000000000;96010000000000
5;4817593137;48005;2000000000;96010000000000
6;24401158179;48005;2000000000;96010000000000
7;5098459931;48005;2000000000;96010000000000
8;17142771078;48005;2000000000;96010000000000
9;7812275036;48005;2000000000;96010000000000
10;4241499512;48005;2000000000;96010000000000
11;34033570515;48005;2000000000;96010000000000
12;13836802492;48005;2000000000;96010000000000
13;4996197819;48005;2000000000;96010000000000
14;9725333663;48005;2000000000;96010000000000
15;3728288426;48005;2000000000;96010000000000
16;8798690209;48005;2000000000;96010000000000
17;10232427202;48005;2000000000;96010000000000
18;34387901540;48005;2000000000;96010000000000
19;5057526069;48005;2000000000;96010000000000
20;11532306794;48005;2000000000;96010000000000
21;2644565575;48005;2000000000;96010000000000
22;8302850215;48005;2000000000;96010000000000
0;3443694367;48005;2000000000;96010000000000
1;12938290763;48005;2000000000;96010000000000
2;31030725926;48005;2000000000;96010000000000
3;7705934640;48005;2000000000;96010000000000
4;5835059707;48005;2000000000;96010000000000
5;2783703681;48005;2000000000;96010000000000
6;12237163806;48005;2000000000;96010000000000
7;11053316230;48005;2000000000;96010000000000
8;6478797853;48005;2000000000;96010000000000
9;10196199292;48005;2000000000;96010000000000
10;5169131802;48005;2000000000;96010000000000
11;24838107337;48005;2000000000;96010000000000
12;10145187442;48005;2000000000;96010000000000
13;14621453314;48005;2000000000;96010000000000
14;16345966438;48005;2000000000;96010000000000
15;44204948471;48005;2000000000;96010000000000
16;12191468070;48005;2000000000;96010000000000
17;10273018275;48005;2000000000;96010000000000
18;9770318326;48005;2000000000;96010000000000
19;23471464348;48005;2000000000;96010000000000
20;8567662511;48005;2000000000;96010000000000
21;7509237537;48005;2000000000;96010000000000
22;6911836812;48005;2000000000;96010000000000
23;4386780109;48005;2000000000;96010000000000
24;4058307828;48005;2000000000;96010000000000
25;7596449419;48005;2000000000;96010000000000
26;20522385608;48005;2000000000;96010000000000
27;10980102515;48005;2000000000;96010000000000
28;13544390328;48005;2000000000;96010000000000
29;8985092808;48005;2000000000;96010000000000
30;11979339235;48005;2000000000;96010000000000
31;6087567686;48005;2000000000;96010000000000
32;3064559089;48005;2000000000;96010000000000
33;25223439262;48005;2000000000;96010000000000
34;54911149637;48005;2000000000;96010000000000
35;20736659611;48005;2000000000;96010000000000
36;8018967956;48005;2000000000;96010000000000
37;34123015403;48005;2000000000;96010000000000
38;44715914654;48005;2000000000;96010000000000
39;9389296690;48005;2000000000;96010000000000
40;20743308031;48005;2000000000;96010000000000
41;15057540932;48005;2000000000;96010000000000
42;7051233189;48005;2000000000;96010000000000
43;47622993535;48005;2000000000;96010000000000
44;3712465446;48005;2000000000;96010000000000
45;5410136368;48005;2000000000;96010000000000
46;3392076428;48005;2000000000;96010000000000
47;18480408243;48005;2000000000;96010000000000
48;36153820920;48005;2000000000;96010000000000
49;18738873299;48005;2000000000;96010000000000
50;10561388734;48005;2000000000;96010000000000
51;14781189505;48005;2000000000;96010000000000
52;43357632283;48005;2000000000;96010000000000
53;9187296542;48005;2000000000;96010000000000
54;7738163662;48005;2000000000;96010000000000
55;46833924319;48005;2000000000;96010000000000
56;7997045260;48005;2000000000;96010000000000
57;12993813484;48005;2000000000;96010000000000
58;26307263672;48005;2000000000;96010000000000
59;6176045388;48005;2000000000;96010000000000
60;3441448274;48005;2000000000;96010000000000
61;3472657949;48005;2000000000;96010000000000
62;31256876116;48005;2000000000;96010000000000
63;4728662967;48005;2000000000;96010000000000
64;38699931949;48005;2000000000;96010000000000
65;25941070018;48005;2000000000;96010000000000
66;8795182286;48005;2000000000;96010000000000
67;17287104664;48005;2000000000;96010000000000
68;4047873543;48005;2000000000;96010000000000
69;6550950273;47941;2000000000;95882000000000
70;6183189159;48005;2000000000;96010000000000
71;20512799341;48005;2000000000;96010000000000
72;6459798092;48005;2000000000;96010000000000
73;6331205203;48005;2000000000;96010000000000
74;12003602269;48005;2000000000;96010000000000
75;6639256774;48005;2000000000;96010000000000
76;229349861272;48005;2000000000;96010000000000
