run;confirmationTime;gasUsed;gasPrice;gasCosts
0;126693101894;47941;1000000000;47941000000000
1;133902560800;47941;1000000000;47941000000000
2;211487278551;47941;1000000000;47941000000000
3;20663923354;47941;1000000000;47941000000000
4;45704746582;47941;1000000000;47941000000000
5;21794927829;47941;1000000000;47941000000000
6;18956303555;47941;1000000000;47941000000000
7;48485136415;47941;1000000000;47941000000000
8;81822597142;47941;1000000000;47941000000000
9;35786107176;47941;1000000000;47941000000000
10;21569440059;47941;1000000000;47941000000000
11;102008849970;47941;1000000000;47941000000000
12;11904675371;47941;1000000000;47941000000000
13;79136752410;47941;1000000000;47941000000000
14;107233067397;47941;1000000000;47941000000000
15;78010438405;47941;1000000000;47941000000000
16;47961169333;47941;1000000000;47941000000000
17;26569105724;47941;1000000000;47941000000000
18;40168733843;47941;1000000000;47941000000000
19;152974844345;47941;1000000000;47941000000000
20;101035527839;47941;1000000000;47941000000000
21;49876481290;47941;1000000000;47941000000000
22;137613429291;47941;1000000000;47941000000000
23;91475617777;47941;1000000000;47941000000000
24;85589397752;47941;1000000000;47941000000000
25;69173543500;47941;1000000000;47941000000000
26;152278413548;47941;1000000000;47941000000000
27;94055511767;47941;1000000000;47941000000000
28;114249322335;47941;1000000000;47941000000000
29;26479693974;47941;1000000000;47941000000000
30;39866271632;47941;1000000000;47941000000000
31;33494848850;47941;1000000000;47941000000000
32;53460403123;47941;1000000000;47941000000000
33;170177954557;47941;1000000000;47941000000000
34;64324141018;47941;1000000000;47941000000000
35;74121353984;47941;1000000000;47941000000000
36;23408389257;47941;1000000000;47941000000000
37;45758199626;47941;1000000000;47941000000000
38;28661095854;47941;1000000000;47941000000000
39;20751931048;38971;1000000000;38971000000000
40;18309432510;47941;1000000000;47941000000000
41;6457197187;47941;1000000000;47941000000000
42;61026475338;47941;1000000000;47941000000000
43;91329809624;47941;1000000000;47941000000000
44;15341036396;47941;1000000000;47941000000000
45;16634782460;47941;1000000000;47941000000000
46;36920928852;47941;1000000000;47941000000000
47;221562260226;47941;1000000000;47941000000000
48;6740834501;47941;1000000000;47941000000000
49;55269038753;47941;1000000000;47941000000000
50;47133305173;47941;1000000000;47941000000000
51;47984990577;38971;1000000000;38971000000000
52;38355261621;47941;1000000000;47941000000000
53;95055602840;47941;1000000000;47941000000000
54;23680316352;47941;1000000000;47941000000000
55;52604077652;47941;1000000000;47941000000000
56;24164629869;47941;1000000000;47941000000000
57;62431749540;47941;1000000000;47941000000000
58;59361245196;47941;1000000000;47941000000000
59;398283216813;47941;1000000000;47941000000000
60;45603745347;47941;1000000000;47941000000000
61;87898626656;47941;1000000000;47941000000000
62;36393923509;47941;1000000000;47941000000000
63;51435019783;29371;1000000000;29371000000000
64;89345520446;47941;1000000000;47941000000000
65;49200455874;47941;1000000000;47941000000000
66;34082486596;47941;1000000000;47941000000000
67;35651612270;38971;1000000000;38971000000000
68;59452067491;47941;1000000000;47941000000000
69;35740195722;47941;1000000000;47941000000000
70;111311665852;47941;1000000000;47941000000000
71;129673270480;47941;1000000000;47941000000000
72;70299756001;47941;1000000000;47941000000000
73;38545621237;47941;1000000000;47941000000000
74;37820778886;47941;1000000000;47941000000000
75;62474734679;47941;1000000000;47941000000000
76;28957218017;47941;1000000000;47941000000000
77;25083099792;47941;1000000000;47941000000000
78;149921126781;47941;1000000000;47941000000000
79;110847865477;47941;1000000000;47941000000000
80;39966406652;47941;1000000000;47941000000000
81;9957825193;47941;1000000000;47941000000000
82;111965208402;47941;1000000000;47941000000000
83;80697130479;47941;1000000000;47941000000000
84;29825956250;38971;1000000000;38971000000000
85;69102789965;47941;1000000000;47941000000000
86;109599424061;47941;1000000000;47941000000000
87;120211380976;47941;1000000000;47941000000000
88;105770351120;47941;1000000000;47941000000000
89;41700988189;47941;1000000000;47941000000000
90;7392829180;47941;1000000000;47941000000000
91;121973451014;47941;1000000000;47941000000000
92;38169699091;47941;1000000000;47941000000000
93;21074469163;47941;1000000000;47941000000000
94;67351680872;29371;1000000000;29371000000000
95;8852316371;47941;1000000000;47941000000000
96;90077378023;29371;1000000000;29371000000000
97;69294024486;47941;1000000000;47941000000000
98;19491924909;47941;1000000000;47941000000000
99;13625499392;29371;1000000000;29371000000000
