run;timeframe;submitted;confirmed;pending
0;26065436177;143;123;20
1;24853725831;124;103;21
2;24257285591;122;102;20
3;26152685950;121;103;18
4;24424314163;120;104;16
5;24423693878;123;106;17
6;24588219999;123;106;17
7;24485882246;121;106;15
8;24187096433;121;105;16
9;24091435287;124;106;18
10;25671179490;122;105;17
11;24433970495;110;97;13
12;25250612897;101;100;1
13;25296239476;114;103;11
14;25162023577;99;96;3
15;25331347664;105;101;4
16;26851212642;98;97;1
17;21522672995;74;66;8
18;23446713703;81;80;1
19;23110506655;63;62;1
