run;timeframe;submitted;confirmed;pending
0;78811980027;121;5;116
1;80061480737;123;26;97
2;80807269666;119;0;119
3;80252686027;117;48;69
4;80476584040;122;22;100
5;81946283909;116;2;114
6;80592843368;122;55;67
7;79246091550;112;8;104
8;81484435977;117;0;117
9;81291372251;118;44;74
10;83369795599;116;4;112
11;78786481919;118;53;65
12;80815603668;120;0;120
13;82166256514;114;22;92
14;81936508207;118;0;118
15;79723841496;121;55;66
16;79755976319;111;0;111
17;82732790828;110;0;110
18;83942539465;114;0;114
19;78850382096;117;49;68
