run;timeframe;submitted;confirmed;pending
0;77311754718;116;116;0
1;76198131542;121;121;0
2;77957319587;121;121;0
3;77973268264;120;120;0
4;77623008272;122;118;4
5;78164924272;124;124;0
6;76236300347;118;118;0
7;75612643200;115;115;0
8;76429153156;119;119;0
9;77545287401;125;125;0
10;77527941591;120;120;0
11;78008600232;121;121;0
12;76214992021;121;121;0
13;75712940443;116;116;0
14;76373850510;118;118;0
15;77932636135;122;122;0
16;77052034888;118;114;4
17;77789452145;121;118;3
18;75758603879;116;116;0
19;78021006896;128;128;0
